的 de,di1,di2,di4
句 ju4,gou1,gou4,qu2
丰 feng1
培 pei2,pou3,pi1
握 wo4,ou4
兰 lan2
担 dan1,dan4,dan3,jie1
弦 xian2
蛋 dan4
沉 chen2
假 jia3,jia4,jie,xia4,xia2,ge2
穿 chuan1,chuan4,yuan1
执 zhi2
答 da2,da1
乐 le4,yue4
谁 shui2,shei2
顺 shun4
烟 yan1,yin1
缩 suo1,su4
征 zheng1
脸 lian3
喜 xi3,xi1,chi4
松 song1
脚 jiao3,jue2
困 kun4
异 yi4,yi2
免 mian3,wen4,wan3
背 bei4,bei1
星 xing1
福 fu2,fu4
买 mai3
染 ran3
井 jing3,jing4
概 gai4,gui4,jie2
慢 man4,man2
怕 pa4,bo2
磁 ci2
倍 bei4,pei2
祖 zu3,jie1
皇 huang2,wang3
促 cu4,chuo4
静 jing4
补 bu3
评 ping2
翻 fan1
肉 rou4,ru4
践 jian4
尼 ni2,ni3
衣 yi1,yi4
宽 kuan1
扬 yang2
棉 mian2
希 xi1
伤 shang1
操 cao1
垂 chui2,zhui4
秋 qiu1
宜 yi2
氢 qing1
套 tao4,tao3
督 du1
振 zhen4,zhen1,zhen3
架 jia4
亮 liang4,liang2
末 mo4,me
宪 xian4,xiong4
庆 qing4
编 bian1
牛 niu2
触 chu4
映 ying4,yang3
雷 lei2,lei4
销 xiao1
诗 shi1
座 zuo4
居 ju1,ji1
抓 zhua1
裂 lie4,lie3
胞 bao1,pao2,pao4
呼 hu1,xiao1,xu1,he4,xia4
娘 niang2
景 jing3,ying3
威 wei1
绿 lv4,lu4
晶 jing1
厚 hou4
盟 meng2,meng4,ming2
衡 heng2
鸡 ji1
孙 sun1
延 yan2
危 wei1
胶 jiao1,xiao2
屋 wu1
乡 xiang1
临 lin2
陆 lu4,liu4
顾 gu4
掉 diao4,nuo2
呀 ya,ya1,xia1
灯 deng1,ding1
岁 sui4
措 cuo4,ze2,ci4
束 shu4
耐 nai4,neng2
剧 ju4
玉 yu4
赵 zhao4
跳 tiao4,diao4,tao2
哥 ge1
季 ji4
课 ke4
凯 kai3
胡 hu2
额 e2
款 kuan3,xin1
绍 shao4
卷 juan3,juan4,quan2,quan1,gun3,jun4
齐 qi2,ji4
伟 wei3
蒸 zheng1
殖 zhi2,shi,shi4
永 yong3
宗 zong1
苗 miao2
川 chuan1
炉 lu2
岩 yan2
弱 ruo4
零 ling2,lian2
杨 yang2
奏 zou4,cou4
沿 yan2,yan3,yan4
露 lu4,lou4
杆 gan1,gan3,gan4
探 tan4,xian2
滑 hua2,gu3
镇 zhen4
饭 fan4
浓 nong2
航 hang2
怀 huai2,fu4
赶 gan3,qian2
库 ku4
夺 duo2
伊 yi1
灵 ling2
税 shui4,tuo1,tui4,tuan4
途 tu2
灭 mie4
赛 sai4
归 gui1
召 zhao4,shao4
鼓 gu3
播 bo1,bo3
盘 pan2
裁 cai2
险 xian3
康 kang1,kang4
唯 wei2,wei3
录 lu4
菌 jun1,jun4
纯 chun2
借 jie4
糖 tang2
盖 gai4,ge3
横 heng2,heng4,guang1,guang4,huang2,huang4
符 fu2
私 si1
努 nu3
堂 tang2
域 yu4
枪 qiang1
润 run4
幅 fu2,bi1
哈 ha1,ha3,ha4,he1,he2,ta4,sha4
竟 jing4
熟 shu2,shou2
虫 chong2,hui3
泽 ze2
脑 nao3
壤 rang3
碳 tan4
欧 ou1
遍 bian4
侧 ce4,ze4,zhai1
寨 zhai4,se4,qian1
敢 gan3
彻 che4
虑 lv4,bi4
斜 xie2,xia2,cha2,ye2
薄 bao2,bo2,bo4,bu4
庭 ting2
纳 na4
弹 dan4,tan2
饲 si4
伸 shen1
折 zhe2,she2,zhe1,ti2
麦 mai4
湿 shi1
暗 an4
荷 he2,he4,he1
瓦 wa3,wa4
塞 sai1,sai4,se4
床 chuang2
筑 zhu4,zhu2
恶 e4,e3,wu4,wu1
户 hu4
访 fang3
塔 ta3,da1,da
奇 qi2,ji1,ai3,yi3
透 tou4,shu1
梁 liang2
刀 dao1,diao1
旋 xuan2,xuan4
迹 ji4,ji1
卡 ka3,qia3
氯 lv4
遇 yu4,yong2,ou3
份 fen4,bin1
毒 du2,dai4
泥 ni2,ni4,ni3,nie4,ning4
退 tui4
洗 xi3,xian3
摆 bai3
灰 hui1
彩 cai3
卖 mai4
耗 hao4,mao2,mao4
夏 xia4,jia3
择 ze2,zhai2
忙 mang2
铜 tong2
献 xian4
硬 ying4,geng3
予 yu3,yu2,zhu4
繁 fan2,po2,pan2
圈 quan1,juan1,juan4,quan2,juan3
雪 xue3
函 han2
亦 yi4
抽 chou1
篇 pian1
阵 zhen4
阴 yin1
丁 ding1,zheng1
尺 chi3,che3
追 zhui1,dui1,tui1
堆 dui1,zui1
雄 xiong2
迎 ying2,ying4
泛 fan4,feng3,fa2
爸 ba4
楼 lou2
避 bi4
谋 mou2
吨 dun1,tun2,tun3
野 ye3,shu4
猪 zhu1
旗 qi2
累 lei4,lei2,lei3,lv4,lie4
偏 pian1
典 dian3,tian3
馆 guan3
索 suo3
秦 qin2
脂 zhi1,zhi3
潮 chao2
爷 ye2
豆 dou4
忽 hu1
托 tuo1
惊 jing1,liang2
塑 su4
遗 yi2,wei4
愈 yu4
朱 zhu1,shu1
替 ti4
纤 xian1,qian4
粗 cu1
倾 qing1
尚 shang4,chang2
痛 tong4
楚 chu3
谢 xie4
奋 fen4,kang3
购 gou4
磨 mo2,mo4
君 jun1
池 chi2,tuo2,che4
旁 pang2,peng1,beng1,bang4
碎 sui4
骨 gu3,gu1,gu2
监 jian1,jian4
捕 bu3
弟 di4,ti4,tui2
暴 bao4,pu4,bo2
割 ge1
贯 guan4
殊 shu1
释 shi4
词 ci2
亡 wang2,wu2
壁 bi4
顿 dun4,du2
宝 bao3
午 wu3
尘 chen2
闻 wen2
揭 jie1,qi4,he2
炮 pao4,bao1,pao2
残 can2
冬 dong1
桥 qiao2
妇 fu4
警 jing3
综 zong1,zeng4
招 zhao1,qiao2,shao2
吴 wu2,tun1
付 fu4
浮 fu2
遭 zao1
徐 xu2
您 nin2
摇 yao2
谷 gu3,lu4,yu4
赞 zan4
箱 xiang1
隔 ge2,rong3,ji1
订 ding4
男 nan2
吹 chui1,chui4
园 yuan2,wan2
纷 fen1
唐 tang2
败 bai4
宋 song4
玻 bo1
巨 ju4,qu2
耕 geng1
坦 tan3
荣 rong2
闭 bi4
湾 wan1
键 jian4
凡 fan2
驻 zhu4
锅 guo1
救 jiu4,jiu1
恩 en1
剥 bo1,bao1,pu1
凝 ning2
碱 jian3,xian2
齿 chi3
截 jie2
炼 lian4
麻 ma2,ma1
纺 fang3
禁 jin4,jin1
废 fei4
盛 sheng4,cheng2
版 ban3
缓 huan3
净 jing4,cheng1
睛 jing1,jing3
昌 chang1,chang4
婚 hun1
涉 she4,die2
筒 tong3,dong4,tong2
嘴 zui3
插 cha1,zha3
岸 an4
朗 lang3
庄 zhuang1,peng2
街 jie1
藏 cang2,zang4,zang1
姑 gu1
贸 mao4
腐 fu3
奴 nu2
啦 la,la1
惯 guan4
乘 cheng2,sheng4
伙 huo3,huo
恢 hui1
匀 yun2,jun1,yun4
纱 sha1
扎 zha1,za1,zha2,zha3
辩 bian4
耳 er3,reng2
彪 biao1
臣 chen2
亿 yi4
璃 li2
抵 di3,zhi3,qi2
脉 mai4,mo4
秀 xiu4
萨 sa4
俄 e2
网 wang3
舞 wu3
店 dian4
喷 pen1,pen4
纵 zong4
寸 cun4,cun3
汗 han4,han2,gan1
挂 gua4
洪 hong2
贺 he4
闪 shan3
柬 jian3
爆 bao4,bo2
烯 xi1
津 jin1
稻 dao4
墙 qiang2
软 ruan3
勇 yong3
像 xiang4
滚 gun3
厘 li2,chan2
蒙 meng2,meng1,meng3
芳 fang1
肯 ken3
坡 po1
柱 zhu4,zhu3
荡 dang4
腿 tui3
仪 yi2
旅 lv3
尾 wei3,yi3
轧 ya4,zha2,ga2
冰 bing1,ning2
贡 gong4
登 deng1,de2
黎 li2
削 xue1,xiao1,qiao4,shao4
钻 zuan1,zuan4
勒 lei1,le4,lei
逃 tao2
障 zhang4,zhang1
氨 an1
郭 guo1,guo2
峰 feng1
币 bi4,yin4
港 gang3,hong4
伏 fu2,fu4
轨 gui3
亩 mu3
毕 bi4
擦 ca1
莫 mo4,mu4
刺 ci4,ci1,qi4
浪 lang4,lang2
秘 mi4,bi4,bie2
援 yuan2,huan4
株 zhu1
健 jian4
售 shou4,shu2
股 gu3
岛 dao3
甘 gan1,han1
泡 pao4,pao1,pao2
睡 shui4
童 tong2,zhong1
铸 zhu4
汤 tang1,shang1
阀 fa2
休 xiu1,xu4
汇 hui4
舍 she3,she4,shi4
牧 mu4
绕 rao4,rao3
炸 zha4,zha2
哲 zhe2
磷 lin2,lin4,lin3,ling2
绩 ji4,ji1
朋 peng2
淡 dan4,yan4,tan2
尖 jian1
启 qi3
陷 xian4
柴 chai2,ci1,zhai4,zi4
呈 cheng2,kuang2,cheng3
徒 tu2
颜 yan2
泪 lei4
稍 shao1,shao4
忘 wang4,wang2
泵 beng4,pin4,liu2
蓝 lan2,la
拖 tuo1,chi3
洞 dong4,tong2
授 shou4
镜 jing4
辛 xin1
壮 zhuang4
锋 feng1
贫 pin2
虚 xu1
弯 wan1
摩 mo2,ma1,mi2
泰 tai4
幼 you4,yao4
廷 ting2
尊 zun1
窗 chuang1,cong1
纲 gang1
弄 nong4,long4
隶 li4,dai4,yi4,di4
疑 yi2,ning2
氏 shi4,zhi1,jing1
宫 gong1
姐 jie3,ju4,xu4,zu1
震 zhen4,shen1
瑞 rui4
怪 guai4
尤 you2
琴 qin2
循 xun2
描 miao2,mao4
膜 mo2
违 wei2
夹 jia1,ga1,jia2
腰 yao1
缘 yuan2
珠 zhu1
穷 qiong2
森 sen1
枝 zhi1,qi2
竹 zhu2
沟 gou1
催 cui1
绳 sheng2
忆 yi4
邦 bang1
剩 sheng4
幸 xing4,nie4
浆 jiang1,jiang4
栏 lan2
拥 yong1
牙 ya2,ya4
贮 zhu4
礼 li3
滤 lv4
钠 na4
纹 wen2,wen4
罢 ba4,ba
拍 pai1,bo2
咱 zan2,za2,za3,zan
喊 han3,kan4,jian1
袖 xiu4
埃 ai1,zhi4
勤 qin2,qi2
罚 fa2
焦 jiao1,qiao2
潜 qian2
伍 wu3
墨 mo4,mei4
欲 yu4
缝 feng4,feng2
姓 xing4,sheng1
刊 kan1
饱 bao3
仿 fang3,pang2
奖 jiang3
铝 lv3
鬼 gui3
丽 li4,li2
跨 kua4,ku4,kua1,kua3
默 mo4
挖 wa1
链 lian4
扫 sao3,sao4
喝 he1,he4,ye4,kai4
袋 dai4
炭 tan4
污 wu1
幕 mu4,man4
诸 zhu1
弧 hu2
励 li4
梅 mei2
奶 nai3
洁 jie2,ji2
灾 zai1
舟 zhou1
鉴 jian4
苯 ben3
讼 song4
抱 bao4,pao1,pou3
毁 hui3,hui4
懂 dong3
寒 han2
智 zhi4,zhi1
埔 pu3,bu4
寄 ji4
届 jie4
跃 yue4
渡 du4
挑 tiao1,tiao3,tao2,diao4,tiao2,tiao
丹 dan1
艰 jian1
贝 bei4
碰 peng4
拔 ba2,bo1,bie2,fa2,bei4
爹 die1
戴 dai4
码 ma3
梦 meng4
芽 ya2
熔 rong2
赤 chi4
渔 yu2
哭 ku1
敬 jing4
颗 ke1
奔 ben1,ben4,fen4
铅 qian1,yan2
仲 zhong4
虎 hu3,hu4
稀 xi1
妹 mei4
乏 fa2
珍 zhen1
申 shen1
桌 zhuo1
遵 zun1
允 yun3,yuan2
隆 long2,long1
螺 luo2
仓 cang1
魏 wei4,wei2,wei1
锐 rui4
晓 xiao3
氮 dan4
兼 jian1
隐 yin3
碍 ai4
赫 he4,shi4
拨 bo1
忠 zhong1
肃 su4
缸 gang1
牵 qian1
抢 qiang3,qiang1
博 bo2
巧 qiao3
壳 ke2,qiao4
兄 xiong1,kuang4
杜 du4,du3,tu2
讯 xun4
诚 cheng2
碧 bi4
祥 xiang2
柯 ke1
页 ye4
巡 xun2,yan2,shun4
矩 ju3
悲 bei1
灌 guan4,huan4
龄 ling2
伦 lun2
票 piao4,piao1
寻 xun2,xin2
桂 gui4
铺 pu4,pu1
圣 sheng4,ku1
恐 kong3
恰 qia4
郑 zheng4
趣 qu4,cu4,qu1,cou3,zou1
抬 tai2,chi1
荒 huang1,huang3,kang1,huang2
腾 teng2
